title,link,cited,relatedLink,position,numOfVersions,publishedData,snippet
Vision substitution and depth perception: early blind subjects experience visual perspective through their ears,https://www.tandfonline.com/doi/abs/10.3109/17483100903253936,Cited by 48,"https://scholar.google.com/scholar?q=related:lMcztPiplRoJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",1,All 6 versions,"L Renier, AG De Volder - Disability and Rehabilitation: Assistive …, 2010 - Taylor & Francis","… EB patients treated for congenital cataract or corneal lesions experience difficulties to estimate
distance [56–58] … in blind subjects is quite unusual: in most case studies of recovery from blindness,
patients had … [62] following the case study of a congenitally blind woman who … 
"
Cross-modal activation of visual cortex during depth perception using auditory substitution of vision,https://www.sciencedirect.com/science/article/pii/S1053811905000789,Cited by 106,"https://scholar.google.com/scholar?q=related:S_UjKc4Xk8AJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",2,All 17 versions,"L Renier, O Collignon, C Poirier, D Tranduy… - Neuroimage, 2005 - Elsevier","… when depth perception is based on static (or pictorial) monocular depth cues, such as … Sensory
substitution systems aim to provide blind people with coded information related to the … of functional
imaging studies dealing with sensory substitution and depth perception, nothing is … 
"
'Visual'acuity of the congenitally blind using visual-to-auditory sensory substitution,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0033136,Cited by 110,"https://scholar.google.com/scholar?q=related:PsKWCtu-igEJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",3,All 24 versions,"E Striem-Amit, M Guendelman, A Amedi - PloS one, 2012 - journals.plos.org","… train the visual cortex to 'see' again after years or life-long blindness, by addressing … perceivable
using the vOICe SSD used here (see Movie S1 depicting a congenitally blind participant
conducting … Maris S, Bach-y-Rita P (2001) Brain plasticity: 'visual' acuity of blind persons via … 
"
"Origins of task-specific sensory-independent organization in the visual and auditory brain: neuroscience evidence, open questions and clinical implications",https://www.sciencedirect.com/science/article/pii/S0959438815001373,Cited by 50,"https://scholar.google.com/scholar?q=related:U2or1BwG18cJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",4,All 14 versions,"B Heimler, E Striem-Amit, A Amedi - Current opinion in neurobiology, 2015 - Elsevier","… Recent evidence from our lab in congenitally blind adults supports this conclusion by showing …
V1 localizations for the two functional roles generally attributed to the blind V1; namely … learning
sign language boosts auditory linguistic recovery in early-implanted deaf children [70] … 
"
Cross-modal plasticity: where and how?,https://www.nature.com/articles/nrn848,Cited by 1022,"https://scholar.google.com/scholar?q=related:BlYLfBX6SugJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",5,All 10 versions,"D Bavelier, HJ Neville - Nature Reviews Neuroscience, 2002 - nature.com","… Changes in the tactile perception of the fingers in blind Braille readers have been linked … to be
driven by experience with Braille reading, rather than by blindness per se … respectively) are
recruited during auditory language processing in POST-LINGUALLY DEAF individuals after … 
"
Neural reorganization following sensory loss: the opportunity of change,https://www.nature.com/articles/nrn2758,Cited by 557,"https://scholar.google.com/scholar?q=related:zh7T-Jbo15kJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",6,All 17 versions,"LB Merabet, A Pascual-Leone - Nature Reviews Neuroscience, 2010 - nature.com","… However, it is clear that blind and deaf individuals make striking adjustments to their sensory
loss in order to operate effectively within … Blindness. There has long been anecdotal evidence
that blind individuals compensate for the loss of vision through more effective use of their … 
"
Impact of blindness onset on the functional organization and the connectivity of the occipital cortex,https://academic.oup.com/brain/article-abstract/136/9/2769/288973,Cited by 181,"https://scholar.google.com/scholar?q=related:WvcBV7MLsKUJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",7,All 17 versions,"O Collignon, G Dormal, G Albouy, G Vandewalle… - Brain, 2013 - academic.oup.com","… Contrasting the impact of congenital versus late-onset acquired blindness provides a … Most
importantly, the preferential activation of the right dorsal stream (middle occipital gyrus and cuneus)
for the spatial processing of sounds was only observed in the congenitally blind … 
"
Large-scale brain plasticity following blindness and the use of sensory substitution devices,https://link.springer.com/chapter/10.1007/978-1-4419-5615-6_18,Cited by 31,"https://scholar.google.com/scholar?q=related:SHecxX2-6_UJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",8,All 14 versions,"A Bubic, E Striem-Amit, A Amedi - … object perception in the primate brain, 2010 - Springer","… In contrast, congenital lack of one sensory system alters the computations underlying multisensory
integration … For example, profound changes identified in recently blinded or even sighted, eg,
the … users of The vOICe SSD (five sighted, one late blind, and one congenitally blind) … 
"
Visual parsing after recovery from blindness,https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2009.02471.x,Cited by 127,"https://scholar.google.com/scholar?q=related:Av6Pev4w7H4J:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",9,All 13 versions,"Y Ostrovsky, E Meyers, S Ganesh… - Psychological …, 2009 - journals.sagepub.com","… Tips on citation download. Download Citation. Download article citation data for: Visual Parsing
After Recovery From Blindness. Yuri Ostrovsky, Ethan Meyers, Suma Ganesh, Umang Mathur,
and Pawan Sinha. Psychological Science 2009 20:12, 1484-1491. Download Citation … 
"
Perceiving space and optical cues via a visuo-tactile sensory substitution system: A methodological approach for training of blind subjects for navigation,https://journals.sagepub.com/doi/abs/10.1068/p6339,Cited by 15,"https://scholar.google.com/scholar?q=related:c67Nmhzqx5wJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",10,All 5 versions,"H Segond, D Weiss, M Kawalec, E Sampaio - Perception, 2013 - journals.sagepub.com","… Those blinded later in life do not show strong cognitive troubles related to space recognition due
to … on cognitive functions always make the distinction between early and late blindness (before
6 … All blind subjects were either congenitally blind or lost their sight in the first weeks of … 
"
Missing sights: consequences for visual cognitive development,https://www.sciencedirect.com/science/article/pii/S1364661305000252,Cited by 140,"https://scholar.google.com/scholar?q=related:Pz7Rdaw0ADwJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",11,All 20 versions,"D Maurer, TL Lewis, CJ Mondloch - Trends in cognitive sciences, 2005 - Elsevier","… To what extent, and under what circumstances, do the lessons derived from cataract-reversal
and congenital blindness apply to other sensory modalities (such as deaf children who receive
cochlear … Can prostheses be developed to restore vision to the congenitally blind … 
"
Revisiting the adaptive and maladaptive effects of crossmodal plasticity,https://www.sciencedirect.com/science/article/pii/S0306452214006435,Cited by 59,"https://scholar.google.com/scholar?q=related:b4ABkBpi-P8J:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",12,All 9 versions,"B Heimler, N Weisz, O Collignon - Neuroscience, 2014 - Elsevier",
Sensory substitution and the human–machine interface,https://www.sciencedirect.com/science/article/pii/S1364661303002900,Cited by 862,"https://scholar.google.com/scholar?q=related:IsvKz_XwznUJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",13,All 16 versions,"P Bach-y-Rita, SW Kercel - Trends in cognitive sciences, 2003 - Elsevier","… Substitutive sensory devices for blindness rehabilitation through audition have been studied
by DeVolder et … of interpretation, such as perspective, parallax, looming and zooming, and depth
estimates [7 … Another recent study of blind subjects who had six hours of training in letter … 
"
